"repo_name","pr_closed_decred","pr_closed_other","pr_closed_internal","pr_merged_decred","pr_merged_internal","pr_merged_other","pr_commits","pr_additions","pr_deletions","forked","pushes","firstevent","lastevent","duration","durationdays","dcr_pr_merged","dcr_pr_commits","dcr_pr_additions","dcr_pr_deletions"
"TechnicalInterviewPrep/decrediton",0,0,0,0,0,0,0,0,0,0,0,"2017-07-30 02:24:46 UTC","2017-07-30 02:24:46 UTC",0,0,NA,NA,NA,NA
"JFixby/base58",0,0,0,0,0,0,0,0,0,1,4,"2018-09-15 17:26:24 UTC","2018-09-15 17:46:03 UTC",1179,0.0272916666666667,NA,NA,NA,NA
"bofhcoin/dcrd",1,0,0,1,0,0,102,6553,5684,1,4,"2018-03-14 08:50:04 UTC","2018-04-05 18:27:12 UTC",1931828,44.7182407407407,NA,NA,NA,NA
"EXCCoin/gominer",0,0,2,0,2,0,90,4729,21472,1,39,"2018-06-21 13:33:08 UTC","2018-12-18 11:42:18 UTC",15548950,359.929398148148,NA,NA,NA,NA
"bitbill/bitcore",0,0,0,0,0,0,0,0,0,1,1,"2018-06-25 03:00:07 UTC","2018-09-03 00:00:52 UTC",6037245,139.751041666667,NA,NA,NA,NA
"GlenDC/atomicswap",0,0,0,0,0,0,0,0,0,1,13,"2018-06-17 18:21:04 UTC","2018-09-23 09:54:17 UTC",8436793,195.296134259259,1,2,8,0
"cerebr/atomicswap",0,0,0,0,0,0,0,0,0,1,0,"2018-03-21 05:26:50 UTC","2018-03-21 05:26:50 UTC",0,0,NA,NA,NA,NA
"collins-b/dcrdata",0,0,0,0,0,0,0,0,0,1,0,"2018-05-26 05:57:54 UTC","2018-05-26 05:57:54 UTC",0,0,NA,NA,NA,NA
"rivine/atomicswap",0,0,2,0,2,0,18,940993,176,2,21,"2018-03-08 21:50:34 UTC","2018-09-20 10:56:26 UTC",16891552,391.008148148148,NA,NA,NA,NA
"bofhcoin/dcrwallet",0,0,0,0,0,0,0,0,0,1,0,"2018-04-05 18:28:57 UTC","2018-04-05 18:28:57 UTC",0,0,NA,NA,NA,NA
"ahussein/atomicswap",0,0,0,0,0,0,0,0,0,1,5,"2018-06-25 17:33:16 UTC","2018-09-05 13:40:25 UTC",6206829,143.676597222222,NA,NA,NA,NA
